企业名称
PPG涂料（天津）有限公司
PPG涂料（张家港）有限公司
SK海力士系统集成电路（无锡）有限公司
SK新能源（江苏）有限公司
阿蓓亚塑料包装（淮安）有限公司
阿博格机械（上海）有限公司
阿迪达斯（中国）有限公司
阿法格玛（宁波）工业液压器材制造有限公司
阿胡斯卡尔斯油脂（张家港）有限公司
阿克苏诺贝尔功能涂料（常州）有限公司
阿朗新科高性能弹性体（常州）有限公司
阿联酋阿布扎比第一银行上市股份公司上海分行
阿斯顿马丁拉共达（中国）汽车销售有限公司
阿斯利康医药（北京）有限公司
阿斯塔导线有限公司
阿泽雷斯国际贸易（上海）有限公司
埃克森美孚（惠州）化工有限公司
埃姆硕德焊料（长兴）有限公司
埃铍斯自动化系统（上海）有限公司
埃斯维机床（苏州）有限公司
埃维能（常州）机械制造有限公司
蔼尔商务服务（上海）有限公司
艾博抗（上海）贸易有限公司
艾尔维汽车工程技术（上海）有限公司
艾坚蒙（安庆）科技发展有限公司
艾杰旭汽车玻璃（苏州）有限公司
艾利丹尼森（昆山）材料有限公司
艾利尚德曼（上海）企业管理咨询有限公司
艾欧史密斯（中国）环境电器有限公司
艾仕得涂料（吉林）有限公司
艾仕得涂料系统（上海）有限公司
艾万拓生命科学（上海）有限公司
爱帝思（中国）展示系统有限公司
爱尔集新能源电池（南京）有限公司
爱尔集新能源科技（南京）有限公司
爱齐（上海）商贸有限公司
爱思开电池材料科技（江苏）有限公司
爱思开海力士半导体存储技术（大连）有限公司
爱斯科（徐州）耐磨件有限公司
爱信（上海）贸易有限公司
安渡生物医药（杭州）有限公司
安捷伦科技贸易（上海）有限公司
安美特（扬州）化学有限公司
安谋西部科技研发有限公司
昂跑体育用品（上海）有限公司
傲晖数据软件（南京）有限公司
奥德富软件（上海）有限公司
奥德旺斯（上海）软件科技有限公司
奥迪（中国）企业管理有限公司
奥伦国际贸易（苏州）有限公司
奥美凯聚合物（苏州）有限公司
奥特斯科技（重庆）有限公司
奥矽半导体技术（上海）有限公司
奥雅纳工程咨询（上海）有限公司
澳申禾商贸（上海）有限公司
澳斯意环保工程（苏州）有限公司
巴可（无锡）科技有限公司
巴可伟视（北京）电子有限公司苏州分公司
巴斯夫（中国）有限公司
巴斯夫杉杉电池材料有限公司
巴斯夫涂料（广东）有限公司
巴斯夫一体化基地（广东）有限公司
白井电子科技（珠海）有限公司
百超（上海）自动化科技有限公司
百达晶心精密机械（无锡）有限公司
百达世瑞（上海）私募基金管理有限公司
百菲萨环保科技（江苏）有限公司
百汇（上海）医院管理有限公司
百卡弗（上海）管理有限公司
百时益医药研发（北京）有限公司
百事（中国）有限公司
百事食品（广东）有限公司
百事食品（中国）有限公司
百通赫思曼通讯科技（上海）有限公司
百威（武汉）啤酒有限公司
柏力开米复合塑料（昆山）有限公司
柏丽（无锡）定制家居有限公司
邦吉洛德斯（厦门）油脂科技有限公司
包头市盛华煤炭销售有限公司
宝可梦（上海）玩具有限公司
宝马诚迈信息技术有限公司
宝马格（常州）工程机械有限公司
保时捷工程技术研发（上海）有限公司
北电爱思特（江苏）科技有限公司
北京ABB低压电器有限公司
北京斐石（广州）律师事务所
北京芬爱教育咨询有限公司
北京凯燕国际饭店管理有限公司
北京昆仕伯咨询有限公司
北京马丁之翼贸易有限公司
北京圃美多绿色食品有限公司
北京世纪卓越信息技术有限公司深圳分公司
北京威幄克企业管理咨询有限公司
北京现代汽车有限公司北京分公司
北京星光灿烂科技服务有限公司
北京伊玛尔咨询有限公司
彼欧新能源投资（上海）有限公司
笔克品牌服务（深圳）有限公司
毕马威华振会计师事务所（特殊普通合伙）上海分所
蝙蝠亚澳飞机制造（江苏）有限公司
蝙蝠亚澳通航科技（江苏）有限公司
波士顿咨询数字中心（深圳）有限公司
勃森国际货运代理（上海）有限公司
博尔豪夫（中国）紧固件有限公司
博格华纳汽车零部件（宁波）有限公司
博格华纳汽车零部件（武汉）有限公司
博马科技（济南）有限责任公司
不二家（杭州）食品有限公司
布尔顿紧固件（天津）有限公司
采埃孚福田自动变速箱（嘉兴）有限公司
采埃孚汽车系统（武汉）有限公司
岑溪市星建混凝土有限公司
常石集团（舟山）造船有限公司
成都时识科技有限公司
成都万吉房地产开发有限公司
达捷公坊商务服务（上海）有限公司
大华银行（中国）有限公司
大华银行（中国）有限公司深圳分行
大华银行（中国）有限公司中山分行
大连菲悦教育科技有限公司
大连泰星能源有限公司
大连香格里拉酒店有限公司
大连翔祥食品有限公司
大陆投资（中国）有限公司
大众汽车（安徽）有限公司
德马格塑料机械（宁波）有限公司
德马吉森精机制造技术（平湖）有限公司
德尼培医疗精密包装（苏州）有限公司
德派装配科技（苏州）有限公司
德莎（苏州）胶带技术有限公司
德山化工（浙江）有限公司
德时行商务服务（深圳）有限公司
德事（上海）商务服务有限公司
德事（天津）商务咨询有限公司
德硕瑞工业自动化（苏州）有限公司
德特威勒密封技术（安徽）有限公司
德之馨（上海）有限公司
德之馨香精香料（南通）有限公司
地源环球机械设备（北京）有限公司
迪皮埃风电叶片（扬州）有限公司
帝业技凯（无锡）精密工业有限公司
蒂森克虏伯动力部件（常州）有限公司
蒂升家用电梯（上海）有限公司
叠拓信息技术（北京）有限公司南京分公司
东莞明信电子有限公司
东亚银行（中国）有限公司
东亚银行（中国）有限公司深圳分行
恩格尔注塑机械（常州）有限公司
